significance,loghbayesiancirc,standard,circenergy,circinc,circnullenergy,circnullinc,powerlaw,energyitf1,energyitf2,skypositiontheta,skypositionphi,jobNumber,nPixels,peakTime,peakFrequency,minTime,minFreq,deltaTime,deltaFreq,injIdx,triggerIdx,uniqIdx,filename,injscale
65.0774,65.0774,257.4085,201.8553,128.9830,55.5532,128.4254,94.4898,106.1926,151.2158,1.3907,0.7089,0,21,1165173896.3562,240.1588,1165173896.0781,168.0000,0.5000,176.0000,371,51,57,1,10
102.2221,102.2221,342.0490,299.2959,175.3162,42.7531,166.7328,127.4306,160.5343,181.5146,1.4403,0.6211,0,24,1165173895.9806,135.1724,1165173895.0625,102.0000,1.6250,76.0000,374,50,58,1,10
49.3283,49.3283,171.0613,142.5606,95.1996,28.5007,75.8617,45.1453,55.2535,115.8078,1.2521,0.9670,0,11,1165173924.4904,139.8329,1165173923.2500,137.5000,2.5000,5.0000,387,57,59,1,10
28.5811,28.5811,96.3963,83.5164,66.5083,12.8799,29.8881,26.5200,19.4335,76.9628,1.2107,1.0797,0,7,1165173899.7498,39.1957,1165173898.7500,37.5000,2.5000,4.0000,388,50,60,1,10
64.7826,64.7826,218.9441,193.5995,108.7354,25.3446,110.2088,58.0797,117.6794,101.2648,1.3907,0.6926,0,18,1165173966.8208,129.4849,1165173958.5000,128.2500,15.0000,3.0000,402,66,61,1,10
85.9570,85.9570,215.4718,207.3540,113.3135,8.1178,102.1583,88.0524,78.1968,137.2749,1.3426,0.7820,0,8,1165173923.2985,110.7605,1165173923.0625,106.0000,0.5000,8.0000,408,57,62,1,10
1284.7147,1284.7147,3079.0265,2931.7359,1653.9383,147.2906,1425.0881,1241.7763,1103.6812,1975.3453,1.3426,0.7820,0,77,1165173923.8500,126.3414,1165173923.0312,52.0000,1.1875,232.0000,415,57,63,1,10
391.1619,391.1619,989.3091,921.2009,509.8606,68.1082,479.4485,381.4038,416.9657,572.3434,1.2963,0.8896,0,31,1165173922.4728,210.4529,1165173921.9688,180.0000,0.9375,80.0000,421,56,64,1,10
173.2124,173.2124,508.3006,454.5274,307.9351,53.7732,200.3655,178.8858,113.6863,394.6143,1.2107,1.0634,0,27,1165173927.0373,106.5676,1165173926.5938,60.0000,0.7500,112.0000,422,57,65,1,10
25.5241,25.5241,90.0849,78.9315,46.8001,11.1533,43.2848,27.8757,38.2554,51.8294,1.3907,0.7089,0,8,1165173884.8302,153.3609,1165173881.5000,151.7500,7.0000,3.0000,427,48,66,1,10
