significance,loghbayesiancirc,standard,circenergy,circinc,circnullenergy,circnullinc,powerlaw,energyitf1,energyitf2,skypositiontheta,skypositionphi,jobNumber,nPixels,peakTime,peakFrequency,minTime,minFreq,deltaTime,deltaFreq,injIdx,triggerIdx,uniqIdx,filename,injscale
1198.6579, 1198.6579, 3202.5815, 2964.3929, 1779.5402, 238.1886, 1423.0413, 1085.3047, 1069.0180, 2133.5635, 1.2963, 0.8896, 0, 132, 1165173861.4499, 149.8786, 1165173857.1250, 107.0000, 9.7500, 126.0000, 297, 39, 60, 1, 10
24.2022, 24.2022, 193.5132, 95.1831, 89.9373, 98.3301, 103.5759, 24.9881, 170.7575, 22.7557, 1.4403, 0.6211, 0, 16, 1165173837.2703, 187.7649, 1165173832.5000, 186.2500, 13.0000, 4.0000, 301, 31, 61, 1, 10
2512.7741, 2512.7741, 6034.8813, 5786.2074, 3341.0005, 248.6739, 2693.8807, 1862.7490, 2133.2535, 3901.6278, 1.2521, 0.9833, 0, 166, 1165173865.3667, 149.8837, 1165173861.1250, 105.0000, 9.7500, 142.0000, 302, 39, 62, 1, 10
30.4143, 30.4143, 134.6185, 100.5360, 66.1371, 34.0825, 68.4814, 40.9827, 69.2134, 65.4051, 1.2963, 0.8896, 0, 13, 1165173804.3621, 159.8507, 1165173797.5000, 157.2500, 12.0000, 6.5000, 303, 20, 63, 1, 10
244.6306, 244.6306, 838.5176, 748.0638, 449.0015, 90.4538, 389.5161, 320.2925, 340.7525, 497.7651, 1.2963, 0.8896, 0, 66, 1165173865.2544, 123.4680, 1165173861.1875, 66.0000, 6.3750, 152.0000, 306, 36, 64, 1, 10
31.5613, 31.5613, 211.9867, 122.7727, 94.3045, 89.2140, 117.6822, 56.5613, 167.7016, 44.2850, 1.4403, 0.6211, 0, 21, 1165173838.1451, 146.6451, 1165173834.2500, 139.5000, 8.5000, 14.0000, 307, 31, 65, 1, 10
24.1408, 24.1408, 193.4318, 95.0474, 89.8385, 98.3844, 103.5933, 25.0439, 170.6545, 22.7773, 1.4403, 0.6211, 0, 16, 1165173837.2719, 187.7652, 1165173832.5000, 186.2500, 13.0000, 4.0000, 308, 33, 66, 1, 10
47.6402, 47.6402, 215.9925, 158.2587, 105.7033, 57.7337, 110.2892, 51.0227, 135.1371, 80.8554, 1.3907, 0.7089, 0, 20, 1165173836.0478, 151.9244, 1165173829.5000, 149.2500, 10.0000, 5.0000, 320, 28, 67, 1, 10
23.2518, 23.2518, 190.0818, 92.9112, 87.8056, 97.1706, 102.2762, 24.2906, 167.4594, 22.6224, 1.4403, 0.6211, 0, 16, 1165173837.2790, 187.7667, 1165173832.5000, 186.2500, 13.0000, 4.0000, 340, 34, 68, 1, 10
23.9011, 23.9011, 191.1704, 94.4098, 89.0540, 96.7606, 102.1164, 21.4142, 168.8732, 22.2972, 1.4403, 0.6211, 0, 16, 1165173837.2699, 187.7631, 1165173832.5000, 186.2500, 13.0000, 4.0000, 349, 39, 69, 1, 10
20.3494, 20.3494, 119.5948, 66.7625, 54.0238, 52.8324, 65.5710, 2.4683, 113.7263, 5.8685, 1.3907, 0.7089, 0, 8, 1165173837.1220, 163.4122, 1165173834.5000, 162.2500, 7.0000, 3.0000, 353, 40, 70, 1, 10
23.0195, 23.0195, 188.8904, 92.3974, 87.1266, 96.4929, 101.7637, 22.5977, 166.3611, 22.5293, 1.4403, 0.6211, 0, 16, 1165173837.2750, 187.7659, 1165173832.5000, 186.2500, 13.0000, 4.0000, 366, 38, 71, 1, 10
24.1812, 24.1812, 193.5998, 95.1425, 89.9381, 98.4574, 103.6617, 25.0017, 170.8335, 22.7664, 1.4403, 0.6211, 0, 16, 1165173837.2702, 187.7652, 1165173832.5000, 186.2500, 13.0000, 4.0000, 372, 31, 72, 1, 10
24.3735, 24.3735, 192.8844, 95.5124, 90.4960, 97.3720, 102.3884, 23.8288, 170.6217, 22.2626, 1.4403, 0.6211, 0, 16, 1165173837.2632, 187.7649, 1165173832.5000, 186.2500, 13.0000, 4.0000, 373, 35, 73, 1, 10
55.4408, 55.4408, 211.2446, 173.9435, 105.8816, 37.3011, 105.3630, 64.6348, 103.0468, 108.1979, 1.3907, 0.6926, 0, 19, 1165173961.1244, 129.0618, 1165173948.5000, 127.7500, 20.0000, 3.5000, 374, 62, 74, 1, 10
24.1771, 24.1771, 193.5630, 95.1323, 89.9220, 98.4307, 103.6410, 25.0027, 170.7849, 22.7781, 1.4403, 0.6211, 0, 16, 1165173837.2699, 187.7653, 1165173832.5000, 186.2500, 13.0000, 4.0000, 379, 35, 75, 1, 10
24.1823, 24.1823, 193.6002, 95.1445, 89.9410, 98.4556, 103.6592, 25.0015, 170.8347, 22.7654, 1.4403, 0.6211, 0, 16, 1165173837.2702, 187.7652, 1165173832.5000, 186.2500, 13.0000, 4.0000, 381, 34, 76, 1, 10
29.2071, 29.2071, 122.5307, 94.6991, 62.4311, 27.8316, 60.0996, 37.7049, 59.7482, 62.7825, 1.3426, 0.7983, 0, 11, 1165173894.4773, 50.5911, 1165173891.2500, 47.5000, 6.0000, 6.0000, 387, 42, 77, 1, 10
23.8650, 23.8650, 192.6096, 94.3569, 89.1271, 98.2528, 103.4826, 25.0325, 170.1541, 22.4555, 1.4403, 0.6211, 0, 16, 1165173837.2737, 187.7647, 1165173832.5000, 186.2500, 13.0000, 4.0000, 391, 33, 78, 1, 10
47.8685, 47.8685, 151.3041, 137.5578, 100.7924, 13.7464, 50.5117, 47.4830, 37.4924, 113.8117, 1.2521, 0.9833, 0, 12, 1165173921.5917, 52.1590, 1165173920.1250, 45.0000, 2.5000, 14.0000, 401, 55, 79, 1, 10
